,CP91,CD91
03/01/2000 0:00,7.85,7.34
04/01/2000 0:00,7.83,7.35
05/01/2000 0:00,7.84,7.37
06/01/2000 0:00,7.83,7.38
07/01/2000 0:00,7.82,7.38
10/01/2000 0:00,7.8,7.36
11/01/2000 0:00,7.8,7.36
12/01/2000 0:00,7.78,7.36
13/01/2000 0:00,7.75,7.35
14/01/2000 0:00,7.7,7.33
17/01/2000 0:00,7.61,7.31
18/01/2000 0:00,7.6,7.29
19/01/2000 0:00,7.57,7.25
20/01/2000 0:00,7.5,7.2
21/01/2000 0:00,7.48,7.2
24/01/2000 0:00,7.47,7.2
25/01/2000 0:00,7.45,7.2
26/01/2000 0:00,7.45,7.2
27/01/2000 0:00,7.45,7.2
28/01/2000 0:00,7.44,7.2
31/01/2000 0:00,7.45,7.2
01/02/2000 0:00,7.46,7.2
02/02/2000 0:00,7.48,7.2
03/02/2000 0:00,7.47,7.2
04/02/2000 0:00,7.47,7.2
07/02/2000 0:00,7.45,7.2
08/02/2000 0:00,7.45,7.2
09/02/2000 0:00,7.45,7.2
10/02/2000 0:00,7.45,7.2
11/02/2000 0:00,7.44,7.15
14/02/2000 0:00,7.45,7.15
15/02/2000 0:00,7.44,7.14
16/02/2000 0:00,7.44,7.13
17/02/2000 0:00,7.43,7.12
18/02/2000 0:00,7.41,7.11
21/02/2000 0:00,7.41,7.11
22/02/2000 0:00,7.4,7.1
23/02/2000 0:00,7.39,7.1
24/02/2000 0:00,7.37,7.08
25/02/2000 0:00,7.35,7.05
28/02/2000 0:00,7.34,7.03
29/02/2000 0:00,7.33,7.01
01/03/2000 0:00,7.33,7.01
02/03/2000 0:00,7.32,7.01
03/03/2000 0:00,7.32,7.01
06/03/2000 0:00,7.31,6.99
07/03/2000 0:00,7.3,7
08/03/2000 0:00,7.31,6.99
09/03/2000 0:00,7.3,6.99
10/03/2000 0:00,7.3,6.99
13/03/2000 0:00,7.3,6.99
14/03/2000 0:00,7.3,6.99
15/03/2000 0:00,7.3,7
16/03/2000 0:00,7.3,7
17/03/2000 0:00,7.3,7
20/03/2000 0:00,7.3,7
21/03/2000 0:00,7.28,7
22/03/2000 0:00,7.28,7
23/03/2000 0:00,7.28,7
24/03/2000 0:00,7.27,7
27/03/2000 0:00,7.27,7
28/03/2000 0:00,7.27,7
29/03/2000 0:00,7.27,7
30/03/2000 0:00,7.28,7
31/03/2000 0:00,7.28,7.01
03/04/2000 0:00,7.28,7
04/04/2000 0:00,7.28,7
05/04/2000 0:00,7.28,7
06/04/2000 0:00,7.28,7
07/04/2000 0:00,7.28,7
10/04/2000 0:00,7.28,7.01
11/04/2000 0:00,7.28,7
12/04/2000 0:00,7.28,7.02
13/04/2000 0:00,7.28,7.02
14/04/2000 0:00,7.3,7.05
17/04/2000 0:00,7.34,7.09
18/04/2000 0:00,7.34,7.1
19/04/2000 0:00,7.35,7.1
20/04/2000 0:00,7.35,7.1
21/04/2000 0:00,7.35,7.1
24/04/2000 0:00,7.35,7.1
25/04/2000 0:00,7.35,7.1
26/04/2000 0:00,7.36,7.1
27/04/2000 0:00,7.36,7.1
28/04/2000 0:00,7.37,7.1
01/05/2000 0:00,7.37,7.1
02/05/2000 0:00,7.37,7.1
03/05/2000 0:00,7.37,7.1
04/05/2000 0:00,7.36,7.1
05/05/2000 0:00,7.36,7.1
08/05/2000 0:00,7.37,7.1
09/05/2000 0:00,7.37,7.11
10/05/2000 0:00,7.37,7.12
11/05/2000 0:00,7.37,7.12
12/05/2000 0:00,7.37,7.13
15/05/2000 0:00,7.37,7.15
16/05/2000 0:00,7.37,7.15
17/05/2000 0:00,7.37,7.15
18/05/2000 0:00,7.37,7.15
19/05/2000 0:00,7.38,7.15
22/05/2000 0:00,7.38,7.15
23/05/2000 0:00,7.4,7.16
24/05/2000 0:00,7.42,7.16
25/05/2000 0:00,7.42,7.16
26/05/2000 0:00,7.42,7.16
29/05/2000 0:00,7.43,7.16
30/05/2000 0:00,7.45,7.16
31/05/2000 0:00,7.46,7.16
01/06/2000 0:00,7.46,7.16
