,Size & Book Value(2X3) Big - High,Size & Book Value(2X3) Big - Low,Size & Book Value(2X3) Big - Medium,Size & Book Value(2X3) Small - High,Size & Book Value(2X3) Small - Low,Size & Book Value(2X3) Small - Medium,SMB,HML
2000-01-03 00:00:00,0.6,0.97,5.4,-0.68,-5.09,-2.4,5.046666666666667,2.02
2000-01-04 00:00:00,3.33,1.45,6.79,2.28,0.18,2.25,2.286666666666667,1.9899999999999998
2000-01-05 00:00:00,-0.84,-9.96,-2.23,0.34,0.22,-0.38,-4.403333333333333,4.62
2000-01-06 00:00:00,-4.89,-1.8,-4.02,-1.58,-2.01,-2.29,-1.6099999999999999,-1.33
2000-01-07 00:00:00,-0.15,-3.67,1.34,-0.98,-4.34,-0.32,1.0533333333333337,3.44
2000-01-10 00:00:00,0.68,5.97,2.28,0.02,-0.3,0.83,2.793333333333333,-2.485
2000-01-11 00:00:00,0.38,-1.44,0.66,2.84,2.11,0.02,-1.7899999999999996,1.275
2000-01-12 00:00:00,-2.07,-4.36,-0.81,-2.47,-6.49,-2.88,1.5333333333333332,3.1550000000000007
2000-01-13 00:00:00,-1.16,-0.17,-1.38,-2.61,-3.98,-1.03,1.6366666666666667,0.1900000000000004
2000-01-14 00:00:00,-1.73,-0.05,-1.29,0.78,-3.3,-0.45,-0.03333333333333355,1.1999999999999997
2000-01-17 00:00:00,0.91,5.43,1.63,1.33,2.15,0.39,1.3666666666666667,-2.67
2000-01-18 00:00:00,-1.77,0.79,-1.23,-0.99,1.25,0.47,-0.98,-2.4
2000-01-19 00:00:00,-7.21,-3.53,-5.59,-4.61,-5.73,-4.27,-0.5733333333333324,-1.2800000000000002
2000-01-20 00:00:00,-0.51,0.94,0.99,-1.05,-2.93,-3.84,3.08,0.21500000000000008
2000-01-21 00:00:00,0.42,-2.73,-2.57,-0.3,-0.12,1.72,-2.06,1.485
2000-01-24 00:00:00,0.29,0.24,0.72,1.94,2.77,2.09,-1.8499999999999999,-0.3899999999999999
2000-01-25 00:00:00,-3.38,-4.77,-2.65,-1.62,-2.27,-1.99,-1.6399999999999997,1.0199999999999996
2000-01-26 00:00:00,0.95,-1.78,0.87,-0.14,0.16,0.31,-0.09666666666666668,1.215
2000-01-27 00:00:00,5.37,2.14,2.09,1.99,0.44,2.33,1.613333333333333,2.39
2000-01-28 00:00:00,0.47,5.39,1.55,1.49,0.87,0.59,1.4866666666666664,-2.15
2000-01-31 00:00:00,0.77,0.04,1.17,-0.84,0.2,0.53,0.6966666666666667,-0.15499999999999997
2000-02-01 00:00:00,0.35,-2.45,0.01,1.61,4.31,2.4,-3.47,0.050000000000000266
2000-02-02 00:00:00,4.2,0.8,2.5,3.62,5.67,4.64,-2.1433333333333335,0.6750000000000003
2000-02-03 00:00:00,1.2,0.76,1.26,1.32,2.83,2.39,-1.106666666666667,-0.5349999999999999
2000-02-04 00:00:00,1.2,0.76,1.26,1.32,2.83,2.39,-1.106666666666667,-0.5349999999999999
2000-02-07 00:00:00,-0.18,5.16,-0.45,3.21,5.79,3.48,-2.6500000000000004,-3.96
2000-02-08 00:00:00,-2.04,-1.06,-2.3,-3.17,-3.56,-1.99,1.1066666666666667,-0.29499999999999993
2000-02-09 00:00:00,-2.5,3.96,-1.13,0.31,2.2,-0.85,-0.4433333333333333,-4.175
2000-02-10 00:00:00,-2.95,0.94,-4.19,-3.03,-2.1,-1.77,0.2333333333333334,-2.41
2000-02-11 00:00:00,-1.5,-0.35,-2.42,-0.5,3.64,0.44,-2.6166666666666663,-2.645
2000-02-14 00:00:00,-4.57,-3.95,-4.94,-2.43,-3.28,-2.72,-1.6766666666666672,0.11500000000000021
2000-02-15 00:00:00,-2.5,-4.4,-3.12,-0.62,-4.53,-1.74,-1.043333333333333,2.905
2000-02-16 00:00:00,1.41,-0.75,1.53,-0.09,1.51,0.92,-0.04999999999999993,0.2799999999999999
2000-02-17 00:00:00,1.36,0.86,5.47,2.91,5.58,2.5,-1.1000000000000005,-1.085
2000-02-18 00:00:00,-1.61,-1.33,-3.1,2,4.87,3.47,-5.460000000000001,-1.5750000000000002
2000-02-21 00:00:00,-6.89,-2.7,-3.88,-0.71,2.5,-0.16,-5.033333333333332,-3.6999999999999997
2000-02-22 00:00:00,-1.41,1.5,-1.79,-1.04,1.8,2.53,-1.6633333333333333,-2.875
2000-02-23 00:00:00,7.84,1.92,4.32,1.78,-2.31,4.39,3.406666666666667,5.005
2000-02-24 00:00:00,-3.1,-1.25,-0.2,1.92,5.52,1.71,-4.566666666666666,-2.7249999999999996
2000-02-25 00:00:00,1.17,-0.71,-0.91,1.19,0.8,4.33,-2.256666666666667,1.1349999999999998
2000-02-28 00:00:00,-3.13,-7.21,-3.17,3.24,2.39,5.79,-8.31,2.4650000000000003
2000-02-29 00:00:00,1.01,1.78,0.01,2.86,4.79,4.5,-3.1166666666666667,-1.35
2000-03-01 00:00:00,1.01,1.78,0.01,2.86,4.79,4.5,-3.1166666666666667,-1.35
2000-03-02 00:00:00,3.67,11.27,3.44,4.51,8.44,5.37,0.019999999999999574,-5.765000000000001
2000-03-03 00:00:00,-2.41,1.65,-2.66,-0.06,2.08,1.21,-2.216666666666667,-3.1
2000-03-06 00:00:00,6.88,0.06,2.82,5.36,4.14,5.29,-1.6766666666666663,4.0200000000000005
2000-03-07 00:00:00,2.23,-0.98,0.14,-0.65,-4.15,0.1,2.0300000000000002,3.3550000000000004
2000-03-08 00:00:00,-0.32,1.65,-0.17,0.89,1.76,1.39,-0.96,-1.42
2000-03-09 00:00:00,-0.73,-3.65,-2.29,4.36,5.3,6.1,-7.476666666666667,0.9900000000000002
2000-03-10 00:00:00,1.42,0.13,1.37,4.06,2.42,3.72,-2.4266666666666667,1.4649999999999999
2000-03-13 00:00:00,-0.94,-5.31,-3.64,5.7,3.44,6.49,-8.506666666666668,3.3149999999999995
2000-03-14 00:00:00,-0.75,-1,-0.65,1.16,-2.09,1.47,-0.98,1.75
2000-03-15 00:00:00,-1.9,-0.64,-2.16,0.93,-0.3,2.51,-2.6133333333333333,-0.014999999999999958
2000-03-16 00:00:00,-0.95,0.33,1.2,-3.45,-6.01,-0.49,3.5100000000000002,0.6399999999999997
2000-03-17 00:00:00,1.75,1.27,1.74,-2.11,-6.72,-0.55,4.713333333333334,2.545
2000-03-20 00:00:00,-1.2,-1.28,-0.76,-1.9,-5.84,-5.64,3.38,2.0100000000000002
2000-03-21 00:00:00,-1.47,1.61,2.73,-3.41,-4.08,-6.33,5.5633333333333335,-1.205
2000-03-22 00:00:00,2.74,3.07,0.71,2.23,5.78,0.18,-0.5566666666666666,-1.9399999999999995
2000-03-23 00:00:00,-2.06,-1.62,-2.25,-1.37,-3.06,-3.15,0.5500000000000003,0.6249999999999998
2000-03-24 00:00:00,0.62,3,1.14,1.77,1.56,3.82,-0.7966666666666666,-1.0850000000000002
2000-03-27 00:00:00,0.2,-0.01,-0.65,2.33,5.12,3.02,-3.6433333333333335,-1.29
2000-03-28 00:00:00,-0.18,0.55,0,1.84,0.98,-1.97,-0.1600000000000001,0.06500000000000006
2000-03-29 00:00:00,-0.79,3.65,-0.59,-3.86,-5.7,-4.89,5.573333333333333,-1.3
2000-03-30 00:00:00,0.34,-3.34,0.79,-0.54,-2.39,-3.43,1.3833333333333333,2.765
2000-03-31 00:00:00,-1.17,-4.41,-1.97,0.6,-0.02,3.46,-3.8633333333333333,1.93
2000-04-03 00:00:00,-2.85,-2.09,-1.75,-1.21,-5.19,-1.33,0.3466666666666667,1.6099999999999999
2000-04-04 00:00:00,0.09,-3.36,0.39,-5.67,-4.72,-1.76,3.09,1.25
2000-04-05 00:00:00,0.09,-3.36,0.39,-5.67,-4.72,-1.76,3.09,1.25
2000-04-06 00:00:00,-2.12,-2.66,-4.5,-3.74,-1.42,-3.76,-0.12000000000000055,-0.8900000000000001
2000-04-07 00:00:00,1.56,6.24,1.23,4.3,7.22,3.17,-1.8866666666666663,-3.8000000000000007
2000-04-10 00:00:00,4.37,4.54,3.87,5.52,6.29,3.94,-0.9899999999999984,-0.46999999999999975
2000-04-11 00:00:00,-3.55,-2.17,-1.23,-5.12,-7.73,-6.37,4.090000000000001,0.6150000000000002
2000-04-12 00:00:00,-1.61,-2.55,-1.48,1.3,0.76,-1.68,-2.006666666666667,0.7399999999999999
2000-04-13 00:00:00,-1.61,-2.55,-1.48,1.3,0.76,-1.68,-2.006666666666667,0.7399999999999999
2000-04-14 00:00:00,-1.23,-7.18,0.18,-0.15,-4.59,-0.55,-0.9800000000000002,5.195
2000-04-17 00:00:00,-10.32,-13.28,-9.31,-10.94,-12.15,-11.73,0.6366666666666667,2.085000000000001
2000-04-18 00:00:00,3.18,5.83,4,0.72,-0.3,-1.1,4.5633333333333335,-0.815
2000-04-19 00:00:00,-0.11,1.24,1.15,2.96,2.52,0.54,-1.246666666666667,-0.45499999999999985
2000-04-20 00:00:00,-0.53,1.44,-0.65,4.06,0.46,0.63,-1.63,0.8149999999999997
2000-04-21 00:00:00,2.66,0.71,1.21,0.12,4.69,2.37,-0.8666666666666669,-1.31
2000-04-24 00:00:00,-2.33,-2.42,-3.15,-2.26,-1.76,-2.3,-0.5266666666666668,-0.20500000000000007
2000-04-25 00:00:00,-1.71,-2.1,-0.2,-2.43,0.04,-1.89,0.09000000000000008,-1.0400000000000003
2000-04-26 00:00:00,-4.84,-3.2,-2.93,-3.09,-3.12,-1.15,-1.2033333333333331,-0.8049999999999997
2000-04-27 00:00:00,-3.09,-4.04,-1.15,-0.93,-3.37,-1.09,-0.9633333333333332,1.6950000000000003
2000-04-28 00:00:00,3.27,6.37,2.16,-1.2,0.7,2.17,3.376666666666667,-2.5
2000-05-01 00:00:00,3.27,6.37,2.16,-1.2,0.7,2.17,3.376666666666667,-2.5
2000-05-02 00:00:00,0.82,6.22,0.58,0.28,3.03,2.96,0.4500000000000002,-4.075
