,Size & Momentum(2X3) Big - Down,Size & Momentum(2X3) Big - Medium,Size & Momentum(2X3x) BIg - Up,Size & Momentum(2X3) Small - Down,Size & Momentum(2X3) Small - Medium,Size & Momentum(2X3) Small - Up,UMD
2000-01-03 00:00:00,3.31,1.37,2.18,-0.19,-0.84,-1.77,-1.355
2000-01-04 00:00:00,6.85,6.08,0.68,3.08,2.51,1.35,-3.9499999999999997
2000-01-05 00:00:00,-3.04,-2.61,-9.72,-0.46,-0.11,1.08,-2.5700000000000003
2000-01-06 00:00:00,-6.56,-3.82,-1.36,-2.77,-2.37,-0.92,3.525
2000-01-07 00:00:00,1.71,2.02,-5.08,1.34,1.31,-2.85,-5.49
2000-01-10 00:00:00,2.9,1.43,6.28,2.05,1.88,-0.1,0.6150000000000007
2000-01-11 00:00:00,-1.51,0.82,-1.16,-1.79,-0.83,1.3,1.72
2000-01-12 00:00:00,-2.72,-0.47,-5.06,-2.02,-1.4,-1.85,-1.085
2000-01-13 00:00:00,-2.04,0.17,-1.21,0.67,1.38,-1.84,-0.8399999999999999
2000-01-14 00:00:00,-0.45,-1.61,-0.12,0.66,1.28,0.43,0.04999999999999999
2000-01-17 00:00:00,-0.12,2.45,5.42,-0.18,0.12,1.64,3.6799999999999997
2000-01-18 00:00:00,-3,-1.21,1.31,-1.01,-1.13,1.12,3.2199999999999998
2000-01-19 00:00:00,-5.67,-5.52,-3.72,-3.4,-4.3,-5.01,0.16999999999999993
2000-01-20 00:00:00,-0.17,2.11,-0.08,-2.57,-2.47,-1.57,0.5449999999999998
2000-01-21 00:00:00,-1.17,-1.89,-2.91,0.12,0.55,1.25,-0.30500000000000016
2000-01-24 00:00:00,1.55,0.07,0.51,1.42,1.44,2.31,-0.07499999999999973
2000-01-25 00:00:00,-1.45,-2.98,-5.07,-1.65,-1.26,-2.35,-2.16
2000-01-26 00:00:00,2.28,1.26,-2.61,0.06,0.39,0.51,-2.2199999999999998
2000-01-27 00:00:00,5.73,2.91,1.27,5.33,4.21,1.37,-4.21
2000-01-28 00:00:00,-0.46,2.1,5.68,-0.98,0.13,2.19,4.654999999999999
2000-01-31 00:00:00,2.16,0.54,0.09,-0.02,-0.14,0.31,-0.8700000000000001
2000-02-01 00:00:00,0.69,-1.11,-1.65,1.24,0.78,4.15,0.28500000000000025
2000-02-02 00:00:00,1.58,2.42,1.35,3.05,3.48,4.73,0.7250000000000001
2000-02-03 00:00:00,0.04,0.98,1.15,1.35,1.24,2.34,1.0499999999999998
2000-02-04 00:00:00,0.04,0.98,1.15,1.35,1.24,2.34,1.0499999999999998
2000-02-07 00:00:00,-0.97,-1.05,6.09,0.67,0.64,6.08,6.235
