,yearly_change
2010-01-01,3.5e-08
2010-02-01,3e-08
2010-03-01,2.5e-08
2010-04-01,2.6e-08
2010-05-01,2.7e-08
2010-06-01,2.7e-08
2010-07-01,2.5e-08
2010-08-01,2.7e-08
2010-09-01,3.4e-08
2010-10-01,3.7e-08
2010-11-01,3e-08
2010-12-01,3e-08
2011-01-01,3.4e-08
2011-02-01,3.9e-08
2011-03-01,4.1e-08
2011-04-01,3.8e-08
2011-05-01,3.9e-08
2011-06-01,4.2e-08
2011-07-01,4.5e-08
2011-08-01,4.7e-08
2011-09-01,3.8e-08
2011-10-01,3.6e-08
2011-11-01,4.2e-08
2011-12-01,4.2e-08
2012-01-01,3.3e-08
2012-02-01,3e-08
2012-03-01,2.7e-08
2012-04-01,2.6e-08
2012-05-01,2.5e-08
2012-06-01,2.2e-08
2012-07-01,1.5e-08
2012-08-01,1.3e-08
2012-09-01,2.1e-08
2012-10-01,2.1e-08
2012-11-01,1.6e-08
2012-12-01,1.4e-08
2013-01-01,1.6e-08
2013-02-01,1.6e-08
2013-03-01,1.5e-08
2013-04-01,1.3e-08
2013-05-01,1.1e-08
2013-06-01,1.2e-08
2013-07-01,1.6e-08
2013-08-01,1.5e-08
2013-09-01,1e-08
2013-10-01,9e-09
2013-11-01,1.2e-08
2013-12-01,1.1e-08
2014-01-01,1.1e-08
2014-02-01,1e-08
2014-03-01,1.3e-08
2014-04-01,1.5e-08
2014-05-01,1.7e-08
2014-06-01,1.7e-08
2014-07-01,1.6e-08
2014-08-01,1.4e-08
2014-09-01,1.1e-08
2014-10-01,1.1e-08
2014-11-01,1e-08
2014-12-01,8e-09
2015-01-01,1e-08
2015-02-01,6e-09
2015-03-01,5e-09
2015-04-01,4e-09
2015-05-01,6e-09
2015-06-01,7e-09
2015-07-01,7e-09
2015-08-01,7e-09
2015-09-01,5e-09
2015-10-01,8e-09
2015-11-01,8e-09
2015-12-01,1.1e-08
2016-01-01,6e-09
2016-02-01,1.1e-08
2016-03-01,8e-09
2016-04-01,1e-08
2016-05-01,8e-09
2016-06-01,7e-09
2016-07-01,4e-09
2016-08-01,5e-09
2016-09-01,1.3e-08
